ticker,entry_dt,exit_dt,entry,exit,reason,lot_rub,pnl_rub,pnl_pct,hold_d,win
LKOH,2023-10-16,2023-11-06,7275.7275,7242.2757,TIME,20119.44,-112.57685642337489,-0.5595426931533626,21,False
GMKN,2023-10-26,2023-11-08,174.67746599999998,174.83465825165337,SL,25408.67,0.7421856173539787,0.002920993571698081,13,True
SNGSP,2023-11-10,2023-11-14,59.775977000000005,57.349324494,SL,21397.04,-889.5922875091092,-4.157548368882374,4,False
SBERP,2023-10-26,2023-11-15,273.597357,278.9721,TIME,26012.07,293.44601580916924,1.1281148167338055,20,True
MTLR,2023-11-15,2023-11-15,315.0315,315.31499684684997,SL,25679.82,2.6256362286279877,0.010224511809771205,0,True
MTLR,2023-11-16,2023-11-21,329.522949,305.78498543307245,SL,11962.56,-873.2829351112978,-7.300134211333509,5,False
SBERP,2023-11-16,2023-11-27,281.10810799999996,281.36107718638914,SL,25819.23,1.1318558840629684,0.004383770871799695,11,True
MTLR,2023-11-22,2023-11-27,327.582755,304.95830112000004,SL,12351.55,-864.9829706767476,-7.003031770723089,5,False
OZON,2023-11-22,2023-11-28,2998.2998,2847.188772648128,SL,16935.22,-870.0250088809012,-5.137370573756356,6,False
OZON,2023-11-30,2023-12-01,2910.79105,2812.0827636,SL,24680.79,-861.2164075787007,-3.489419939875104,1,False
MGNT,2023-11-29,2023-12-11,6351.13505,6152.5536831,SL,25037.09,-807.4820492865483,-3.22514337443588,12,False
ALRS,2023-12-19,2024-01-08,72.797279,71.462853,TIME,15523.39,-299.9359133929148,-1.9321547251786808,20,False
TATN,2023-12-27,2024-01-09,699.9699899999999,700.5998929940008,SL,21228.21,8.524669194715539,0.04015726806318356,13,True
MGNT,2023-12-22,2024-01-11,6706.17055,7047.2952000000005,TIME,18316.03,663.8353290673844,3.6243406953765875,20,True
CHMF,2023-12-29,2024-01-11,1408.5408400000001,1468.710655896184,SL,20232.51,281.60876327545327,1.3918627163681287,13,True
OZON,2024-01-11,2024-01-16,2907.2907,2909.9069709009295,SL,21175.2,42.05736880910779,0.19861615856807865,5,True
VTBR,2024-01-12,2024-01-24,126.31263,120.91556723400001,SL,19338.09,-845.1992969260571,-4.37064517191748,12,False
SNGS,2024-01-12,2024-02-01,29.682968,29.157084,TIME,17836.26,-199.72441566960674,-1.1197662271664954,20,False
NLMK,2024-01-12,2024-02-01,196.51964999999998,200.139984,TIME,18817.98,199.7944731726986,1.061721147395728,20,True
NLMK,2024-02-02,2024-02-07,204.92049,196.88685802152486,SL,20875.56,-838.8645912646836,-4.0184052129125325,5,False
PLZL,2024-02-01,2024-02-09,1142.1142,1110.3274722446727,SL,24491.74,-705.7922750064322,-2.8817563595172584,8,False
AFLT,2024-02-05,2024-02-16,39.813981,38.43911570400001,SL,23707.75,-841.9797344037478,-3.551495753092334,11,False
MGNT,2024-02-15,2024-02-21,7421.24205,7179.891939,SL,24028.37,-805.0768929713993,-3.350526452570022,6,False
LKOH,2024-02-06,2024-02-26,7145.7145,7149.78495,TIME,24491.76,-10.547368819837677,-0.04306496887050044,20,False
SBERP,2024-02-13,2024-03-04,287.158713,295.45045200000004,TIME,24028.37,404.4111395038693,1.6830569010876282,20,True
OZON,2024-03-05,2024-03-14,3395.3395,3223.2645762182715,SL,15585.98,-805.084450595728,-5.165440033900518,9,False
ALRS,2024-03-12,2024-03-14,75.197519,73.325706696,SL,23652.41,-612.112457747374,-2.5879496328170113,2,False
TATNP,2024-03-15,2024-03-15,745.27452,726.1073819999999,SL,23227.25,-620.292216285776,-2.6705366166282105,0,False
SNGSP,2024-02-28,2024-03-19,62.196219,61.79382,TIME,20875.82,-155.87130722783235,-0.7466595670389587,20,False
SBERP,2024-03-11,2024-03-22,300.63006,292.441502925,SL,23652.41,-667.5742775992604,-2.8224366041315045,11,False
ALRS,2024-03-21,2024-03-22,77.127712,74.63440866696492,SL,22994.4,-765.9614434676115,-3.331078190636031,1,False
CHMF,2024-03-11,2024-04-01,1706.5706400000001,1877.61222,TIME,23652.41,641.253196064459,2.7111537304843734,21,True
AFLT,2024-04-01,2024-04-01,45.784578,45.8257795417422,SL,14021.02,-0.005950811482152929,-4.244207256071904e-05,0,False
NLMK,2024-04-03,2024-04-08,220.50204799999997,214.73202464999997,SL,22756.72,-617.9491617796218,-2.7154579472772076,5,False
OZON,2024-03-21,2024-04-10,3500.35,3759.6240000000003,TIME,17671.63,524.8857747426724,2.9702170922697704,20,True
RUAL,2024-04-09,2024-04-10,39.333932999999995,39.36932960630669,SL,14885.39,-0.17810800800082482,-0.0011965289992457357,1,False
ALRS,2024-03-28,2024-04-17,78.55785499999999,76.39236000000001,TIME,19484.59,-556.3205987089772,-2.855182473477641,20,False
AFLT,2024-04-11,2024-04-17,51.235122999999994,48.8971098,SL,16637.36,-775.4706726379982,-4.661019973349126,6,False
SNGSP,2024-04-01,2024-04-22,67.386738,68.69313000000001,TIME,18909.32,347.4926400006992,1.8376791973518838,21,True
SBERP,2024-04-12,2024-04-22,307.520749,308.8268847327993,SL,22728.74,47.18924285158346,0.20761926464724156,10,True
IRAO,2024-04-03,2024-04-23,4.290429,4.29957,TIME,22756.72,25.703508087040156,0.11294908970642585,20,True
MGNT,2024-04-24,2024-05-02,8212.8212,8220.211917797878,SL,22455.32,77.09752925223036,0.3433374774985632,8,True
LKOH,2024-04-30,2024-05-06,8153.31525,7947.40518,SL,22455.32,-589.275623534303,-2.6242138768643826,6,False
IRAO,2024-05-10,2024-05-10,4.4104410000000005,4.414409955855899,SL,22301.67,-1.2986023124497326,-0.005822892691218786,0,False
SNGS,2024-05-08,2024-05-15,36.593659,34.68649086408377,SL,14289.72,-758.6610933528883,-5.309138970902777,7,False
