ticker,entry_dt,exit_dt,entry,exit,reason,pos_rub,pnl_rub,pnl_pct,hold_days,win,tp_levels,risk_pct,capital_after
TATNP,2024-03-15,2024-03-18,745.27452,724.7258304433307,SL,33598.34,-959.51,-2.856,1,False,0,0.01,111034.97155844759
MTSS,2024-03-14,2024-03-19,296.52965,288.86361074999996,SL,33854.57,-908.64,-2.684,3,False,0,0.01,110126.32859146716
CHMF,2024-03-11,2024-04-08,1706.5706400000001,1817.61822,TIME,33839.32,2118.91,6.262,20,True,2,0.01,112245.23625590412
ALRS,2024-03-12,2024-04-09,75.197519,78.19218000000001,TIME,33839.32,1295.42,3.828,20,True,1,0.01,113540.65305522262
OZON,2024-03-21,2024-04-18,3500.35,3901.6098,TIME,25390.24,2607.08,10.268,20,True,2,0.01,116147.73011891366
MTSS,2024-04-22,2024-04-23,319.63196,308.6909259538713,SL,34027.48,-1198.21,-3.521,1,False,0,0.01,114949.52096798384
PLZL,2024-04-09,2024-04-24,1348.1348,1349.3479865065199,SL,23308.01,382.78,1.642,11,True,1,0.01,115332.3009529752
SNGSP,2024-04-01,2024-04-27,67.386738,66.523347,TIME,27686.35,-382.24,-1.381,20,False,0,0.01,114950.0612583669
AFLT,2024-04-01,2024-04-27,45.784578,52.174782,TIME,20529.07,2338.56,11.391,20,True,2,0.01,117288.62079172043
LKOH,2024-04-30,2024-05-06,8153.31525,7947.40518,SL,35186.59,-923.37,-2.624,3,False,0,0.01,116365.24941414506
RUAL,2024-04-09,2024-05-07,39.333932999999995,42.345765,TIME,22463.41,1559.22,6.941,20,True,1,0.01,117924.4669973613
IRAO,2024-05-10,2024-05-14,4.4104410000000005,4.414409955855899,SL,35377.34,338.11,0.956,2,True,1,0.01,118262.57750147619
SNGSP,2024-05-16,2024-05-24,72.617261,70.02299378351255,SL,33192.99,-1218.43,-3.671,6,False,0,0.01,117044.15074134943
CHMF,2024-05-14,2024-05-27,1975.59754,1922.4058828949896,SL,35478.77,-990.24,-2.791,9,False,0,0.01,116053.90717595322
ALRS,2024-05-24,2024-05-27,81.218121,78.63694767096277,SL,35113.25,-1150.48,-3.276,1,False,0,0.01,114903.4262396752
OZON,2024-04-27,2024-05-28,4228.4228,4343.0656500000005,TIME,23565.36,842.88,3.577,20,True,1,0.01,115746.30610147142
