strategy,ticker,entry_dt,exit_dt,entry,exit,reason,pos_rub,pnl_rub,pnl_pct,hold_d,win
APEX_v4,VTBR,2023-04-04,2023-04-06,100.02,93.15388030628894,SL,29236.26,-2035.23,-6.961,2,False
APEX_v4,OZON,2023-04-04,2023-04-06,1843.3686,1744.3509714641361,SL,29236.26,-1598.89,-5.469,2,False
APEX_v4,NVTK,2023-03-21,2023-04-18,1125.225,1314.737,TIME,28720.17,3509.34,12.219,20,True
APEX_v4,SNGS,2023-04-24,2023-04-26,26.335265999999997,25.004061380283375,SL,29198.83,-1504.41,-5.152,2,False
APEX_v4,T,2023-04-28,2023-05-02,2783.0565,2669.11607,SL,28747.5,-1205.1,-4.192,1,False
APEX_v4,VTBR,2023-05-18,2023-06-01,117.27345,107.93176932681922,SL,11905.9,-959.82,-8.062,10,False
APEX_v4,NVTK,2023-06-05,2023-06-06,1349.2698,1281.6336989056613,SL,18755.31,-958.45,-5.11,1,False
APEX_v4,NVTK,2023-06-07,2023-07-06,1353.47064,1324.7350000000001,TIME,15524.29,-344.96,-2.222,20,False
APEX_v4,OZON,2023-06-07,2023-07-06,1826.3652,1959.608,TIME,14512.27,1046.38,7.21,20,True
APEX_v4,SNGS,2023-07-19,2023-07-20,29.185836,28.575828325820815,SL,28020.92,-613.39,-2.189,1,False
APEX_v4,ALRS,2023-07-03,2023-07-31,70.624122,84.03319,TIME,21319.0,2638.44,12.376,20,True
APEX_v4,SBERP,2023-07-28,2023-07-31,246.969384,253.5714595632,SL,27836.9,1140.56,4.097,1,True
APEX_v4,MTLR,2023-07-27,2023-08-04,203.14061999999998,213.82521276757222,SL,18638.06,1518.52,8.147,6,True
APEX_v4,IRAO,2023-08-02,2023-08-04,4.2308460000000006,4.109418137924719,SL,28970.6,-860.03,-2.969,2,False
APEX_v4,SNGS,2023-08-02,2023-08-08,31.276253999999998,29.9062904114442,SL,22143.32,-991.58,-4.478,4,False
APEX_v4,T,2023-08-04,2023-08-08,3648.7296,3462.8348641652005,SL,19155.06,-994.58,-5.192,2,False
APEX_v4,PHOR,2023-08-01,2023-08-14,7574.5145999999995,7580.572696777079,SL,28970.6,245.14,0.846,9,True
APEX_v4,VTBR,2023-08-11,2023-08-16,142.72853999999998,132.52458609833062,SL,13356.61,-967.77,-7.246,3,False
APEX_v4,PHOR,2023-08-15,2023-08-17,7621.523999999999,7430.6195787999995,SL,28645.85,-745.81,-2.604,2,False
APEX_v4,NVTK,2023-10-10,2023-10-11,1727.14536,1695.3688886963225,SL,28131.77,-545.45,-1.939,1,False
APEX_v4,IRAO,2023-10-24,2023-10-26,4.530906,4.3703657520000005,SL,26455.43,-963.36,-3.641,2,False
APEX_v4,LKOH,2023-10-13,2023-10-27,7144.4286,7150.14271399428,SL,21079.48,298.91,1.418,10,True
APEX_v4,MGNT,2023-10-24,2023-11-21,5983.1964,5929.8138,TIME,22345.06,-221.61,-0.992,20,False
APEX_v4,MTLR,2023-11-10,2023-11-21,308.5617,308.80848764765994,SL,12535.98,324.36,2.587,7,True
APEX_v4,SBER,2023-11-09,2023-11-27,278.65572000000003,278.88,SL,27768.8,242.34,0.873,12,True
APEX_v4,ALRS,2024-01-16,2024-01-23,75.175032,72.18052844238662,SL,23436.89,-956.55,-4.081,5,False
APEX_v4,MAGN,2024-01-12,2024-02-08,56.201238,56.24618775015239,SL,19917.6,308.81,1.55,19,True
APEX_v4,SBER,2024-01-18,2024-02-15,278.295648,289.24214,TIME,27872.33,987.91,3.544,20,True
APEX_v4,SNGSP,2024-02-14,2024-02-15,58.431684,58.47841766086319,SL,27678.01,235.03,0.849,1,True
APEX_v4,AFLT,2024-02-05,2024-02-16,39.817962,38.29175960734412,SL,24110.68,-947.8,-3.931,9,False
APEX_v4,PHOR,2024-02-14,2024-02-20,6965.3928,6769.04592,SL,27678.01,-807.5,-2.917,4,False
APEX_v4,OZON,2024-02-14,2024-02-21,3154.6308,2981.821072459647,SL,16900.34,-942.23,-5.575,5,False
APEX_v4,LKOH,2024-03-04,2024-03-19,7478.9955,7263.6138851248015,SL,27235.63,-811.18,-2.978,10,False
APEX_v4,SBER,2024-02-27,2024-03-22,291.40827,291.641338334346,SL,27235.63,241.4,0.886,17,True
APEX_v4,ALRS,2024-03-21,2024-03-22,77.135424,74.51118458183423,SL,26597.6,-931.03,-3.5,1,False
APEX_v4,MGNT,2024-02-29,2024-03-29,7636.527,7769.9457,TIME,23821.22,392.15,1.646,20,True
APEX_v4,AFLT,2024-03-29,2024-04-01,42.968592,45.13783025113614,SL,18746.16,1465.31,7.817,1,True
APEX_v4,NLMK,2024-03-21,2024-04-08,212.822556,212.99277148028875,SL,20707.84,284.53,1.374,12,True
APEX_v4,IRAO,2024-04-02,2024-04-24,4.220844,4.224219831031199,SL,27342.63,259.71,0.95,16,True
APEX_v4,SBER,2024-04-23,2024-04-24,315.453078,307.05382695000003,SL,27427.98,-757.36,-2.761,1,False
APEX_v4,PLZL,2024-04-01,2024-04-27,1215.7431,1379.724,TIME,16315.86,1717.78,10.528,20,True
APEX_v4,SNGS,2024-04-16,2024-05-15,32.80656,35.512896000000005,TIME,16454.65,1249.16,7.592,20,True
