ticker,entry_dt,exit_dt,entry,exit,reason,pos_size_rub,pnl_rub,pnl_pct,hold_days,win,tp_levels,risk_pct,capital_after
NLMK,2023-06-22,2023-06-26,175.01749999999998,165.1492878076431,SL,9724.47,-557.76,-5.736,2,False,0,0.005,108368.54312257541
TGKA,2023-07-19,2023-07-20,0.010913091199999999,0.011671923890879999,SL,7577.33,749.42,9.89,1,True,2,0.005,109117.96625018881
CHMF,2023-06-28,2023-07-26,1191.1191,1316.8683,TIME,8623.09,652.9,7.572,20,True,1,0.005,109770.8657771772
MGNT,2023-06-29,2023-07-27,5201.5201,5879.412,TIME,7671.07,684.63,8.925,20,True,2,0.005,110455.4948523711
OZON,2023-07-25,2023-08-03,2247.72475,2683.555792882963,TP3,9203.41,825.55,8.97,7,True,3,0.005,111281.04956905123
MTLR,2023-07-28,2023-08-04,214.42144,223.764063982734,SL,9524.04,586.85,6.162,5,True,2,0.005,111867.89671301097
SNGS,2023-08-03,2023-08-04,31.493149,31.521489684785095,SL,11338.8,215.17,1.898,1,True,1,0.005,112083.06598018053
MTLR,2023-08-04,2023-08-07,234.983496,220.61598823122492,SL,9179.8,-570.18,-6.211,1,False,0,0.005,111512.88975006573
ALRS,2023-08-04,2023-08-07,89.0089,84.5393453480692,SL,11181.54,-572.38,-5.119,1,False,0,0.005,110940.51134244139
SBER,2023-08-01,2023-08-15,269.0269,258.6392434850756,SL,14338.98,-567.72,-3.959,10,False,0,0.005,110372.7930356348
ROSN,2023-08-08,2023-08-16,523.8523799999999,524.3237947567619,SL,13016.91,221.36,1.701,6,True,1,0.005,110594.15391621429
TATN,2023-08-08,2023-09-05,549.15491,603.43965,TIME,10883.54,715.95,6.578,20,True,2,0.005,111310.10094678767
IRAO,2023-09-07,2023-09-08,4.5504549999999995,4.320471295390953,SL,11032.63,-568.35,-5.152,1,False,0,0.005,110741.74900335167
ROSN,2023-08-16,2023-09-11,546.3546299999999,546.846294531537,SL,10837.08,214.12,1.976,18,True,1,0.005,110955.86654028075
MTLR,2023-10-11,2023-10-19,233.283326,244.3488939034573,SL,8873.29,595.97,6.716,6,True,2,0.005,111551.83923475741
MTLR,2023-10-20,2023-10-26,261.42614,274.284097152274,SL,8205.29,571.73,6.968,4,True,2,0.005,112123.56600511997
MTLR,2023-10-26,2023-10-31,290.54905199999996,268.86972520217756,SL,7522.8,-568.56,-7.558,3,False,0,0.005,111555.00989975285
GMKN,2023-10-31,2023-11-08,175.51755,175.67549824324496,SL,14217.65,221.0,1.554,6,True,1,0.005,111776.00777110216
MGNT,2023-10-24,2023-11-21,5982.5982,5930.4069,TIME,11462.85,-111.41,-0.972,20,False,0,0.005,111664.59471674389
MTLR,2023-11-17,2023-11-27,330.033,304.77471948000004,SL,7311.33,-566.59,-7.749,6,False,0,0.005,111098.00813759536
TATN,2023-12-28,2024-01-09,718.77187,688.3152220607462,SL,13139.17,-569.61,-4.335,6,False,0,0.005,110528.39896082318
OZON,2024-01-16,2024-01-17,3035.3035,2884.9604016862836,SL,11178.84,-564.61,-5.051,1,False,0,0.005,109963.79239590779
NLMK,2024-01-12,2024-02-07,196.51964999999998,196.69649803303497,SL,11408.58,204.34,1.791,18,True,1,0.005,110168.12970511455
