num,ticker,entry_dt,exit_dt,entry_price,exit_price,shares,pnl,pnl_pct,reason,tp_hit,hold_bars,capital_after
44,LKOH,2022-10-12 11:00,2022-10-12 16:00,4195.42,4198.78,7,199.4,0.68,SL,1,5,95475.02
45,MGNT,2022-10-17 12:00,2022-10-18 22:00,4917.99,4921.93,6,305.43,1.03,SL,2,25,74886.92
46,SBER,2022-10-17 13:00,2022-10-19 10:00,109.91,110.0,190,223.43,1.07,SL,2,27,96003.88
47,NLMK,2022-10-20 16:00,2022-10-21 13:00,87.65,92.71,360,820.31,2.6,TP3,3,12,79275.67
48,LKOH,2022-10-20 18:00,2022-10-24 14:00,4384.94,4388.45,4,130.44,0.74,SL,1,26,55698.4
49,NLMK,2022-10-21 14:00,2022-10-24 14:00,91.61,92.09,280,470.72,1.83,SL,2,15,81832.51
50,ROSN,2022-10-25 18:00,2022-10-26 14:00,326.63,326.89,82,302.8,1.13,SL,2,11,82135.31
51,MGNT,2022-10-24 11:00,2022-10-26 15:00,5195.02,5199.17,3,185.78,1.19,SL,2,34,97913.95
52,T,2022-10-31 14:00,2022-11-01 12:00,2561.26,2563.3,12,324.63,1.06,SL,2,13,98238.58
53,NVTK,2022-11-07 12:00,2022-11-08 10:00,1131.11,1132.02,28,131.32,0.41,SL,1,13,62590.99
54,NLMK,2022-11-07 14:00,2022-11-09 10:00,106.93,107.22,130,204.94,1.47,SL,2,26,76703.87
55,ROSN,2022-11-07 13:00,2022-11-09 19:00,346.98,347.26,63,226.33,1.03,SL,2,36,98801.17
56,ROSN,2022-11-11 11:00,2022-11-11 12:00,360.44,355.86,90,-444.45,-1.37,SL,0,1,98356.72
57,MTLR,2022-11-15 18:00,2022-11-16 10:00,106.08,103.96,300,-667.05,-2.1,SL,0,2,97689.66
58,SBER,2022-12-05 11:00,2022-12-06 10:00,141.26,141.38,220,128.85,0.41,SL,1,14,75866.15
59,ROSN,2022-12-05 14:00,2022-12-06 10:00,342.83,338.62,64,-291.61,-1.33,SL,0,11,97526.91
60,MTLR,2022-12-06 14:00,2022-12-07 10:00,101.91,100.66,310,-419.87,-1.33,SL,0,6,97107.04
61,NLMK,2022-12-09 11:00,2022-12-09 12:00,108.39,107.08,290,-412.03,-1.31,SL,0,1,96695.01
62,NLMK,2022-12-19 17:00,2022-12-20 10:00,111.23,111.32,280,322.41,1.03,SL,2,8,97017.42
63,GAZP,2022-12-23 18:00,2022-12-26 10:00,161.55,161.68,190,127.28,0.41,SL,1,7,97144.7
64,SBER,2022-12-26 13:00,2022-12-27 10:00,140.44,140.56,220,128.11,0.41,SL,1,12,79542.18
65,MGNT,2022-12-26 19:00,2022-12-27 13:00,4430.44,4433.99,4,73.6,0.42,SL,1,9,97346.41
66,T,2022-12-27 17:00,2022-12-28 14:00,2628.26,2595.94,8,-279.44,-1.33,SL,0,12,65935.8
67,GAZP,2022-12-27 13:00,2022-12-29 10:00,163.77,161.75,190,-413.53,-1.33,SL,0,27,96653.43
