ticker,entry_dt,exit_dt,entry,exit_price,reason,pos_rub,pnl_rub,pnl_pct,hold_days,win
VTBR,2023-05-24,2023-05-31,119.0119,109.89748115924223,SL,13692.14,-1061.77,-7.755,5,False
LKOH,2023-05-16,2023-06-05,5068.5068,5282.478658926867,SL,23311.32,1519.01,6.516,14,True
PHOR,2023-06-01,2023-06-05,7692.7692,7403.635062971208,SL,27374.14,-1055.72,-3.857,2,False
NVTK,2023-06-05,2023-06-06,1349.1349,1284.4777723890238,SL,21552.74,-1053.95,-4.89,1,False
AFLT,2023-06-16,2023-06-23,43.50435,41.13687841261074,SL,18781.92,-1040.37,-5.539,5,False
SNGS,2023-06-20,2023-06-23,27.262726,26.0782036803108,SL,23535.32,-1045.6,-4.443,3,False
PLZL,2023-06-22,2023-06-23,1126.91268,1075.2928845527683,SL,22321.14,-1044.26,-4.678,1,False
MGNT,2023-06-22,2023-06-23,4982.4982,4707.923572982534,SL,18546.79,-1040.11,-5.608,1,False
NLMK,2023-06-01,2023-06-30,146.694668,169.68303,TIME,23607.73,2840.62,12.033,20,True
TATNP,2023-06-01,2023-06-30,445.74457,504.24957,TIME,25537.94,2501.08,9.794,20,True
MGNT,2023-06-27,2023-07-25,4790.479,5831.4168,TIME,15283.85,2499.77,16.356,20,True
SNGSP,2023-07-03,2023-07-31,41.90419,46.005399,TIME,18832.55,1623.02,8.618,20,True
CHMF,2023-07-03,2023-07-31,1177.31772,1339.866,TIME,18944.47,2257.99,11.919,20,True
ALRS,2023-07-03,2023-07-31,70.61706099999999,84.041595,TIME,24195.76,2976.09,12.3,20,True
VTBR,2023-08-01,2023-08-03,129.51295,129.629498703705,SL,24418.12,365.83,1.498,2,True
MTLR,2023-07-31,2023-08-04,217.82178000000002,218.017797819822,SL,18399.41,341.94,1.858,4,True
AFLT,2023-08-01,2023-08-04,45.824582,43.89779537946498,SL,26831.25,-1154.44,-4.303,3,False
TATN,2023-08-03,2023-08-04,540.054,540.5399945945999,SL,29694.85,343.88,1.158,1,True
